time,open,high,low,close
2019-09-07T20:00:00-04:00,10000,10412.65,10000,10391.63
2019-09-08T20:00:00-04:00,10316.62,10475.54,10077.22,10307
2019-09-09T20:00:00-04:00,10307,10382.97,9940.87,10102.02
2019-09-10T20:00:00-04:00,10094.27,10293.11,9884.31,10159.55
2019-09-11T20:00:00-04:00,10163.06,10450.13,10042.12,10415.13
2019-09-12T20:00:00-04:00,10414.96,10440.55,10153.51,10341.34
2019-09-13T20:00:00-04:00,10343.01,10419.97,10222.77,10332.25
2019-09-14T20:00:00-04:00,10333.47,10359.2,10024.81,10302.22
2019-09-15T20:00:00-04:00,10302,10353.81,10080.7,10249.27
2019-09-16T20:00:00-04:00,10257.3,10270.63,10136.77,10186.52
2019-09-17T20:00:00-04:00,10183.87,10256.65,10097.92,10155.16
2019-09-18T20:00:00-04:00,10154.7,10331.62,9530.02,10245.3
2019-09-19T20:00:00-04:00,10247.7,10279.3,10070.5,10166.35
2019-09-20T20:00:00-04:00,10166.56,10175.3,9912.63,9983.33
2019-09-21T20:00:00-04:00,9992.7,10089.52,9857,10023.04
2019-09-22T20:00:00-04:00,10027.69,10046.91,9620,9701.96
2019-09-23T20:00:00-04:00,9701.1,9792.83,7761.75,8495.83
2019-09-24T20:00:00-04:00,8493.32,8725.24,8200,8430.07
2019-09-25T20:00:00-04:00,8428.15,8464.4,7700.67,8060.15
2019-09-26T20:00:00-04:00,8061.98,8260,7851.94,8176.52
2019-09-27T20:00:00-04:00,8178.26,8311,8001.14,8195.38
2019-09-28T20:00:00-04:00,8199,8226.35,7888.98,8041.96
2019-09-29T20:00:00-04:00,8042.08,8331.89,7709.01,8285.84
2019-09-30T20:00:00-04:00,8285.31,8499,8171,8290
2019-10-01T20:00:00-04:00,8290,8365.92,8149.35,8352.14
2019-10-02T20:00:00-04:00,8353.4,8386,8020,8220.27
2019-10-03T20:00:00-04:00,8219.95,8227.42,7979.95,8130.56
2019-10-04T20:00:00-04:00,8130,8175,8010,8122.14
2019-10-05T20:00:00-04:00,8122.01,8148.43,7760,7852.79
2019-10-06T20:00:00-04:00,7851.01,8330,7764.42,8186.88
2019-10-07T20:00:00-04:00,8188.55,8322.01,8103.88,8167.62
2019-10-08T20:00:00-04:00,8168.33,8700,8113,8559.77
